Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'170100',1972,2,5.76 
'170100',1972,3,8.96 
'170100',1972,4,3.84 
'170100',1972,5,3.23 
'170100',1972,6,7.67 
'170100',1972,7,2.97 
'170100',1972,8,1.43 
'170100',1972,9,4.68 
'170100',1972,10,5.93 
'170100',1972,11,8.7 
'170100',1972,12,7.65 
'170100',1973,1,5.81 
'170100',1973,2,4.86 
'170100',1973,3,4.37 
'170100',1973,4,8.6 
'170100',1973,5,5.98 
'170100',1973,6,6.24 
'170100',1973,7,4.78 
'170100',1973,8,2.98 
'170100',1973,9,4.04 
'170100',1973,10,3.95 
'170100',1973,11,4.85 
'170100',1973,12,10.88 
'170100',1974,1,4.36 
'170100',1974,2,3.69 
'170100',1974,3,5.27 
'170100',1974,4,6.14 
'170100',1974,5,4.94 
'170100',1974,6,4.59 
'170100',1974,7,3.87 
'170100',1974,8,2.2 
'170100',1974,9,4.79 
'170100',1974,10,1.7 
'170100',1974,11,6.94 
'170100',1974,12,2.92 
'170100',1975,1,5.7 
'170100',1975,2,2.85 
'170100',1975,3,5.48 
'170100',1975,4,3.69 
'170100',1975,5,1.73 
'170100',1975,6,5.75 
'170100',1975,7,2.7 
'170100',1975,8,2.62 
'170100',1975,9,4.1 
'170100',1975,10,5.5 
