#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1960,1,3.53 
'172426',1960,2,6.85 
'172426',1960,3,1.78 
'172426',1960,4,3.53 
'172426',1960,5,7.07 
'172426',1960,6,1.78 
'172426',1960,7,3.02 
'172426',1960,8,0.91 
'172426',1960,9,3.94 
'172426',1960,10,4.37 
'172426',1960,11,3.93 
'172426',1960,12,3.04 
'172426',1961,1,2.31 
'172426',1961,2,2.21 
'172426',1961,3,2.16 
'172426',1961,4,4.67 
'172426',1961,5,5.22 
'172426',1961,6,3.36 
'172426',1961,7,1.39 
'172426',1961,8,1.36 
'172426',1961,9,2.15 
'172426',1961,10,6.2 
'172426',1961,11,4.96 
'172426',1961,12,4.18 
'172426',1962,1,3.93 
'172426',1962,2,1.48 
'172426',1962,3,1.1 
'172426',1962,4,5.63 
'172426',1962,5,1.35 
'172426',1962,6,2.54 
'172426',1962,7,5.97 
'172426',1962,8,2.67 
'172426',1962,9,3.29 
'172426',1962,10,1.83 
'172426',1962,11,6.09 
'172426',1962,12,3.33 
'172426',1963,1,2.83 
'172426',1963,2,3.46 
'172426',1963,3,1.5 
'172426',1963,4,1.85 
'172426',1963,5,4.61 
'172426',1963,6,1.71 
'172426',1963,7,2.08 
'172426',1963,8,4.32 
'172426',1963,9,2.92 
'172426',1963,10,4.4 
'172426',1963,11,6.55 
'172426',1963,12,1.45 
'172426',1964,1,4.13 
'172426',1964,2,2.31 
'172426',1964,3,2.65 
'172426',1964,4,3.23 
'172426',1964,5,1.32 
'172426',1964,6,1.66 
'172426',1964,7,2.29 
'172426',1964,8,2.67 
'172426',1964,9,3.48 
'172426',1964,10,2.31 
'172426',1964,11,2.45 
'172426',1964,12,5.77 
'172426',1965,1,2.26 
'172426',1965,2,3.07 
'172426',1965,3,0.57 
'172426',1965,4,3.13 
'172426',1965,5,1.83 
'172426',1965,6,0.67 
'172426',1965,7,2.25 
'172426',1965,8,1.12 
'172426',1965,9,1.4 
'172426',1965,10,3.06 
'172426',1965,11,7.74 
'172426',1965,12,2.87 
'172426',1966,1,2.47 
'172426',1966,2,2.94 
'172426',1966,3,3.61 
'172426',1966,4,0.86 
'172426',1966,5,3.04 
'172426',1966,6,1.25 
'172426',1966,7,2.84 
'172426',1966,8,1.72 
'172426',1966,9,5.17 
'172426',1966,10,3.74 
'172426',1966,11,4.53 
'172426',1966,12,2.86 
'172426',1967,1,2.94 
'172426',1967,2,3.76 
'172426',1967,3,1.53 
'172426',1967,4,0.69 
'172426',1967,5,4.68 
'172426',1967,6,2.5 
'172426',1967,7,1.94 
'172426',1967,8,2.12 
'172426',1967,9,6.02 
'172426',1967,10,2.43 
'172426',1967,11,5.25 
'172426',1967,12,8.66 
'172426',1968,1,2.74 
'172426',1968,2,2.01 
